Última Medição;2018m12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Download em;2019m01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Site;http://www.ispdados.rj.gov.br/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CISP;mes;vano;mes_ano;AISP;RISP;munic;mcirc;Regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;indicador_letalidade;indicador_roubo_rua;indicador_roubo_veic;registro_ocorrencias;fase
51;1;2003;2003m1;24;3;Paracambi;3303609;Baixada Fluminense;2;0;0;0;2;29;2;0;7;0;0;4;2;0;0;0;0;0;0;0;;2;8;1;1;0;0;;13;15;0;0;0;2;1; ; ; ;2;;;;;26;2;0;0;0;0;2;0;4;91;3
52;1;2003;2003m1;20;3;Nova Iguaçu;3303500;Baixada Fluminense;6;0;0;2;1;91;7;0;34;9;3;67;14;26;8;0;0;16;0;11;;47;201;37;17;0;10;;74;138;0;0;0;10;3; ; ; ;27;;;;;94;1;1;0;0;0;8;50;67;585;3
53;1;2003;2003m1;20;3;Mesquita;3302858;Baixada Fluminense;8;0;0;4;2;106;5;1;14;4;0;16;1;10;1;0;0;6;0;0;;12;50;9;1;0;2;;38;50;0;0;0;1;9; ; ; ;20;;;;;89;4;1;0;0;0;12;17;16;372;3
54;1;2003;2003m1;20;3;Belford Roxo;3300456;Baixada Fluminense;20;0;0;3;4;224;8;0;28;8;1;43;7;6;3;0;0;8;0;3;;24;103;18;6;0;7;;53;84;0;0;0;4;11; ; ; ;41;;;;;211;15;2;0;0;0;23;17;43;703;3
55;1;2003;2003m1;24;3;"Queimados;Japeri";9999981;Baixada Fluminense;11;0;0;0;8;63;4;1;24;2;4;5;2;7;4;0;0;2;0;0;;6;32;5;1;0;2;;44;52;0;0;0;3;5; ; ; ;5;;;;;49;12;0;0;0;0;11;13;5;268;3
56;1;2003;2003m1;20;3;Nova Iguaçu;3303500;Baixada Fluminense;27;0;0;2;7;75;2;3;23;7;5;30;3;4;6;0;0;3;0;1;;16;75;7;2;0;3;;28;40;0;0;0;1;17; ; ; ;15;;;;;89;9;0;0;0;0;29;13;30;380;3
57;1;2003;2003m1;20;3;Nilópolis;3303203;Baixada Fluminense;5;1;1;0;1;66;3;1;15;4;0;46;4;17;4;0;0;8;0;4;;35;122;40;5;0;6;;39;90;0;2;0;6;9; ; ; ;40;;;;;74;6;0;0;0;0;7;29;46;447;3
58;1;2003;2003m1;20;3;Nova Iguaçu;3303500;Baixada Fluminense;29;0;0;1;8;116;6;6;45;4;1;43;5;6;9;0;0;2;0;0;;27;97;26;0;0;2;;43;71;0;0;0;5;5; ; ; ;42;;;;;128;6;1;0;0;0;30;17;43;569;3
59;1;2003;2003m1;15;3;Duque de Caxias;3301702;Baixada Fluminense;14;0;2;5;2;113;7;4;41;19;4;203;15;69;29;0;0;36;0;19;;157;551;44;20;0;7;;97;168;0;2;0;24;22; ; ; ;128;;;;;155;14;3;0;0;0;21;134;203;1221;3
60;1;2003;2003m1;15;3;Duque de Caxias;3301702;Baixada Fluminense;21;0;0;0;9;62;2;4;46;6;0;37;6;7;22;0;0;5;1;0;;22;106;8;1;1;2;;35;47;0;0;0;1;5; ; ; ;38;;;;;39;9;2;0;0;0;21;34;37;370;3
